cost,model,mean,std,cvar95,q05
0.0,BS_delta,0.0029213991545728696,0.9779288119296178,2.274695542632867,-1.5957927472960314
0.0,DeepHedge,0.007901201174572473,1.512152877688902,2.632471717880463,-2.1018280712793227
0.001,BS_delta,-0.3280972562519489,0.9949906088860094,2.7110763255367436,-2.0010134015707597
0.001,DeepHedge,-0.2878950592622624,1.5131807691235488,2.9301607732438297,-2.3963186221619064
0.005,BS_delta,-1.652171877878036,1.1506045095768265,4.5322866381147655,-3.7141483328167575
0.005,DeepHedge,-1.3423842559537478,1.6023078339989085,4.164737485660496,-3.615433939138649
0.01,BS_delta,-3.3072651549106453,1.4797068196910326,6.905837174937749,-5.960528587484397
0.01,DeepHedge,-2.532535846160152,1.710334728313766,5.606004391235851,-5.014782606123423
0.02,BS_delta,-6.617451708975864,2.3270371757621064,11.80214347579458,-10.631449265730257
0.02,DeepHedge,-4.535254208350075,1.7721704538716048,7.852080244315663,-7.193280387542649
